API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sun May 14 05:40:44 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-31 00:00:00.0000 UT      
Stop  time      : A.D. 2023-Dec-31 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : MOON_ME                         {East-longitude positive}
Target radii    : 1737.4, 1737.4, 1737.4 km       {Equator_a, b, pole_c}       
Center geodetic : 139.484444,35.300556,1.22238E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 139.484444,5211.22956,3665.13099 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230511.p230804                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-11. PREDICTS-> 2023-AUG-03
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
********************************************************************************
 Date__(UT)__HR:MN, , ,Azi_(a-app), Elev_(a-app),       phi,  PAB-LON,  PAB-LAT,
********************************************************************************
$$SOE
 2023-Jan-05 18:00, ,m, 279.874253,    36.180716,   14.3195,  97.8370,   1.8029,
 2023-Jan-05 19:00, ,m, 286.648183,    24.601262,   13.9240,  98.0775,   1.7741,
 2023-Jan-05 20:00, ,m, 293.587702,    13.460217,   13.4822,  98.3416,   1.7433,
 2023-Jan-05 21:00,N,m, 301.125868,     2.950258,   12.9951,  98.6294,   1.7133,
 2023-Jan-05 22:00,*, , 309.648171,    -6.673855,   12.4669,  98.9399,   1.6871,
 2023-Jan-05 23:00,*, , 319.517106,   -15.065995,   11.9047,  99.2702,   1.6672,
 2023-Jan-06 00:00,*, , 331.001609,   -21.772675,   11.3177,  99.6167,   1.6558,
 2023-Jan-06 01:00,*, , 344.095312,   -26.264920,   10.7175,  99.9745,   1.6544,
 2023-Jan-06 02:00,*, , 358.298993,   -28.063718,   10.1165, 100.3382,   1.6640,
 2023-Jan-06 03:00,*, ,  12.632169,   -26.940135,    9.5282, 100.7020,   1.6845,
 2023-Jan-06 04:00,*, ,  26.050260,   -23.039862,    8.9656, 101.0602,   1.7156,
 2023-Jan-06 05:00,*, ,  37.925370,   -16.801802,    8.4406, 101.4074,   1.7560,
 2023-Jan-06 06:00,*, ,  48.152340,    -8.758446,    7.9633, 101.7387,   1.8038,
 2023-Jan-06 07:00,*,m,  56.955677,     0.613433,    7.5403, 102.0502,   1.8568,
 2023-Jan-06 08:00,C,m,  64.685935,    10.943056,    7.1747, 102.3392,   1.9121,
 2023-Jan-06 09:00,A,m,  71.723638,    21.956809,    6.8649, 102.6045,   1.9668,
 2023-Jan-06 10:00, ,m,  78.482475,    33.450396,    6.6052, 102.8462,   2.0180,
 2023-Jan-06 11:00, ,m,  85.514173,    45.257322,    6.3865, 103.0661,   2.0629,
 2023-Jan-06 12:00, ,m,  93.858460,    57.205800,    6.1971, 103.2673,   2.0990,
 2023-Jan-06 13:00, ,m, 106.503839,    68.995120,    6.0242, 103.4544,   2.1246,
 2023-Jan-06 14:00, ,m, 137.708789,    79.351200,    5.8555, 103.6329,   2.1385,
 2023-Jan-06 15:00, ,m, 216.670305,    80.042778,    5.6799, 103.8090,   2.1405,
 2023-Jan-06 16:00, ,m, 251.625522,    70.024759,    5.4891, 103.9890,   2.1311,
 2023-Jan-06 17:00, ,m, 265.006220,    58.266331,    5.2776, 104.1789,   2.1119,
 2023-Jan-06 18:00, ,m, 273.554468,    46.294242,    5.0442, 104.3841,   2.0847,
 2023-Jan-06 19:00, ,m, 280.638633,    34.436755,    4.7924, 104.6087,   2.0524,
 2023-Jan-06 20:00, ,m, 287.382570,    22.868755,    4.5316, 104.8556,   2.0178,
 2023-Jan-06 21:00,N,m, 294.362875,    11.753864,    4.2775, 105.1261,   1.9839,
 2023-Jan-06 22:00,*,m, 302.002567,     1.290381,    4.0532, 105.4201,   1.9537,
 2023-Jan-06 23:00,*, , 310.689995,    -8.256270,    3.8872, 105.7357,   1.9299,
 2023-Jan-07 00:00,*, , 320.792072,   -16.523715,    3.8099, 106.0700,   1.9146,
 2023-Jan-07 01:00,*, , 332.568482,   -23.038393,    3.8448, 106.4188,   1.9093,
 2023-Jan-07 02:00,*, , 345.969558,   -27.256093,    4.0009, 106.7770,   1.9150,
 2023-Jan-07 03:00,*, ,   0.415855,   -28.704018,    4.2689, 107.1393,   1.9318,
 2023-Jan-07 04:00,*, ,  14.856757,   -27.190717,    4.6261, 107.4998,   1.9592,
 2023-Jan-07 05:00,*, ,  28.247741,   -22.913642,    5.0442, 107.8529,   1.9959,
 2023-Jan-07 06:00,*, ,  40.022113,   -16.348149,    5.4953, 108.1935,   2.0402,
 2023-Jan-07 07:00,*, ,  50.141728,    -8.037749,    5.9555, 108.5170,   2.0897,
 2023-Jan-07 08:00,C,m,  58.875358,     1.545791,    6.4055, 108.8200,   2.1417,
 2023-Jan-07 09:00,A,m,  66.600160,    12.041253,    6.8311, 109.1003,   2.1932,
 2023-Jan-07 10:00, ,m,  73.721512,    23.182699,    7.2227, 109.3570,   2.2413,
 2023-Jan-07 11:00, ,m,  80.696009,    34.768359,    7.5751, 109.5908,   2.2831,
 2023-Jan-07 12:00, ,m,  88.174273,    46.624825,    7.8874, 109.8039,   2.3163,
 2023-Jan-07 13:00, ,m,  97.469588,    58.549600,    8.1623, 110.0000,   2.3390,
 2023-Jan-07 14:00, ,m, 112.536434,    70.117032,    8.4062, 110.1839,   2.3500,
 2023-Jan-07 15:00, ,m, 150.871489,    79.346713,    8.6284, 110.3613,   2.3490,
 2023-Jan-07 16:00, ,m, 221.419096,    77.747844,    8.8404, 110.5383,   2.3366,
 2023-Jan-07 17:00, ,m, 251.156727,    67.522031,    9.0551, 110.7211,   2.3140,
 2023-Jan-07 18:00, ,m, 264.189292,    55.758172,    9.2857, 110.9154,   2.2834,
 2023-Jan-07 19:00, ,m, 272.849045,    43.757654,    9.5446, 111.1263,   2.2474,
 2023-Jan-07 20:00, ,m, 280.095225,    31.854242,    9.8427, 111.3575,   2.2088,
 2023-Jan-07 21:00,N,m, 287.010821,    20.232188,   10.1878, 111.6112,   2.1710,
 2023-Jan-07 22:00,*,m, 294.183445,     9.063536,   10.5847, 111.8883,   2.1367,
 2023-Jan-07 23:00,*, , 302.060804,    -1.442644,   11.0342, 112.1881,   2.1087,
 2023-Jan-08 00:00,*, , 311.064183,   -11.003823,   11.5337, 112.5084,   2.0893,
 2023-Jan-08 01:00,*, , 321.595892,   -19.229901,   12.0772, 112.8459,   2.0799,
 2023-Jan-08 02:00,*, , 333.932529,   -25.607643,   12.6559, 113.1962,   2.0816,
 2023-Jan-08 03:00,*, , 347.980305,   -29.551973,   13.2594, 113.5541,   2.0945,
 2023-Jan-08 04:00,*, ,   3.028760,   -30.578225,   13.8757, 113.9142,   2.1181,
 2023-Jan-08 05:00,*, ,  17.879390,   -28.539291,   14.4924, 114.2708,   2.1511,
 2023-Jan-08 06:00,*, ,  31.446004,   -23.714072,   15.0975, 114.6186,   2.1918,
 2023-Jan-08 07:00,*, ,  43.237738,   -16.645857,   15.6798, 114.9525,   2.2378,
 2023-Jan-08 08:00,C, ,  53.322819,    -7.908599,   16.2295, 115.2685,   2.2863,
 2023-Jan-08 09:00,A,m,  62.051294,     2.022854,   16.7390, 115.5636,   2.3345,
 2023-Jan-08 10:00, ,m,  69.856677,    12.794336,   17.2032, 115.8360,   2.3794,
 2023-Jan-08 11:00, ,m,  77.198600,    24.145720,   17.6198, 116.0854,   2.4181,
 2023-Jan-08 12:00, ,m,  84.619084,    35.872368,   17.9898, 116.3128,   2.4483,
 2023-Jan-08 13:00, ,m,  92.951096,    47.778235,   18.3171, 116.5210,   2.4679,
 2023-Jan-08 14:00, ,m, 103.978225,    59.583663,   18.6088, 116.7138,   2.4759,
 2023-Jan-08 15:00, ,m, 123.030715,    70.578245,   18.8745, 116.8963,   2.4719,
 2023-Jan-08 16:00, ,m, 167.125173,    77.709686,   19.1258, 117.0742,   2.4562,
 2023-Jan-08 17:00, ,m, 223.249967,    74.118082,   19.3754, 117.2536,   2.4302,
 2023-Jan-08 18:00, ,m, 249.035435,    63.922442,   19.6363, 117.4405,   2.3959,
 2023-Jan-08 19:00, ,m, 262.091435,    52.219271,   19.9206, 117.6403,   2.3560,
